medicineId|name|category|unitPrice|stockQuantity|minThresholdQuantity|expiryDate|active
MED001|Paracetamol|OVER_THE_COUNTER|5.0|50|10|2027-12-31|true
MED002|Aspirin|OVER_THE_COUNTER|8.5|5|10|2027-06-30|true
MED003|Amoxicillin|PRESCRIPTION_ONLY|15.0|18|5|2027-09-30|true
MED004|Cetirizine|OVER_THE_COUNTER|6.5|30|10|2028-01-31|true
MED005|Metformin|PRESCRIPTION_ONLY|12.0|15|5|2027-11-30|true
MED006|Insulin|CONTROLLED_SUBSTANCE|35.0|8|5|2027-10-31|true
MED007|Lisinopril|PRESCRIPTION_ONLY|18.5|25|5|2028-02-15|true
MED008|Atorvastatin|PRESCRIPTION_ONLY|22.0|12|5|2028-01-20|true
MED009|Omeprazole|OVER_THE_COUNTER|10.0|40|10|2027-12-15|true
MED010|Prednisolone|PRESCRIPTION_ONLY|14.5|20|5|2027-11-01|true
